Name,Type,Capacity,Location 1
McCallie Ave,Wave,8,"(35.04525, -85.3002)"
Behind Fine Arts Bldg.,Wave,4,"(35.04567, -85.2961)"
Grote Hall,Wave,4,"(35.0473, -85.29742)"
Majestic Theater,Pi,6,"(35.05319, -85.31102)"
McKenzie Arena,Wave,4,"(35.04992, -85.30067)"
Glenwood Park,Hoop,,"(35.03787, -85.26336)"
TVA,Inverted U,10,"(35.04195, -85.31042)"
Market & 7th,Pi,2,"(35.04767, -85.30968)"
Baldwin across Hunter Hall,,1,"(35.04528, -85.29859)"
1st Presbyterian Student Center,Inverted U,4,"(35.04635, -85.30239)"
Fine Art Center Vine St.,Wave,4,"(35.04589, -85.29557)"
Boling Apt by Tennis Courts,Wave,4,"(35.04913, -85.3012)"
Countdown Building,Hoop,,"(35.02732, -85.25494)"
Convention Center,Wave,3,"(35.04337, -85.31278)"
TN Temple University,Post and Ring,,"(35.03379, -85.27735)"
UTC Place 300,Wave,5,"(35.04351, -85.3004)"
Center Med Spa,Inverted U,8,"(35.03422419735524, -85.30373096466064)"
greenspaces,Pi,2,"(35.03552874022704, -85.30547976493834)"
Hunter Museum,Pi,4,"(35.05498, -85.30576)"
Fletcher Hall Douglas St,Wave,4,"(35.04648, -85.30108)"
Greenlife,Wave,15,"(35.06316, -85.31461)"
Miller Park Market and 10th,,,"(35.04511, -85.30925)"
Lockmiller,Wave,4,"(35.04476, -85.29594)"
Guerry Center,Wave,4,"(35.04547, -85.29714)"
Grocery Bar,Hoop,8,"(35.036145865205, -85.30852407217026)"
The Ice Cream Show,Pi,4,"(35.05564, -85.30777)"
Development Resource Center,Pi,2,"(35.040968503436105, -85.30812174081802)"
Pickle Barrel - Market & Georgia,Post and Ring,,"(35.04423601461893, -85.30923267954856)"
Mr. Zip,Comb,5,"(35.06233, -85.30568)"
Coltrane's,Comb,5,"(35.04595, -85.31119)"
Rec Center,Comb,5,"(35.06939, -85.30301)"
Riverside Park,Comb,5,"(35.06904, -85.26851)"
Community Kitchen,Comb,6,"(35.04045, -85.30026)"
Holt Hall across Grote Hall,Wave,4,"(35.0476, -85.29675)"
Claris Networks,Circle,2,"(35.041313280421676, -85.3075236082077)"
Southern Star,Post and Ring,2,"(35.03966843955072, -85.30988931655884)"
Southtree,Post and Ring,2,"(35.039378557620665, -85.30918926000595)"
